Date,Service_Type,Region,Cost_USD,Cost_Category,Department,Usage_Hours,Resource_Tags
2024-03-31,CloudFront (CDN),ap-south-1,54.4,Spot,Procurement,9.1,procurement-cloudfront
2024-06-24,CloudFront (CDN),ap-south-1,80.43,Spot,Logistics,7.6,logistics-cloudfront
2024-02-24,CloudWatch (Monitoring),ap-south-1,20.55,Reserved,Fleet Management,20.6,fleet-management-cloudwatch
2024-04-02,CloudFront (CDN),ap-southeast-1,65.33,Spot,Fleet Management,4.6,fleet-management-cloudfront
2024-01-28,ElastiCache (Caching),ap-south-1,80.49,Reserved,Platform / DevOps,17.7,platform-/-devops-elasticache
2024-03-04,DynamoDB (NoSQL),us-east-1,67.7,On-Demand,Platform / DevOps,19.0,platform-/-devops-dynamodb
2024-07-15,CloudWatch (Monitoring),us-west-2,32.08,On-Demand,Procurement,22.5,procurement-cloudwatch
2024-04-25,SageMaker (ML),eu-west-1,338.54,Savings Plan,Logistics,12.6,logistics-sagemaker
2024-11-23,DynamoDB (NoSQL),ap-southeast-1,190.67,Reserved,Platform / DevOps,19.7,platform-/-devops-dynamodb
2024-01-24,CloudWatch (Monitoring),ap-southeast-1,11.42,Reserved,Procurement,22.1,procurement-cloudwatch
2024-03-18,DynamoDB (NoSQL),us-west-2,76.18,On-Demand,Fleet Management,4.6,fleet-management-dynamodb
2024-11-15,DynamoDB (NoSQL),eu-west-1,245.9,Savings Plan,Logistics,19.3,logistics-dynamodb
2024-07-07,Redshift (Data Warehouse),ap-south-1,283.23,Reserved,Procurement,20.6,procurement-redshift
2024-08-16,SNS (Notifications),ap-south-1,10.37,On-Demand,Procurement,4.4,procurement-sns
2024-03-20,SNS (Notifications),ap-southeast-1,3.08,Spot,Platform / DevOps,4.5,platform-/-devops-sns
2024-12-01,CloudFront (CDN),eu-west-1,77.93,On-Demand,Platform / DevOps,15.3,platform-/-devops-cloudfront
2024-10-13,DynamoDB (NoSQL),eu-west-1,135.51,Savings Plan,Fleet Management,12.4,fleet-management-dynamodb
2024-10-11,CloudWatch (Monitoring),us-east-1,45.3,Spot,Logistics,1.6,logistics-cloudwatch
2024-07-10,S3 (Storage),us-west-2,84.23,Spot,Platform / DevOps,5.4,platform-/-devops-s3
2024-06-05,SQS (Queue),us-west-2,3.58,Savings Plan,Platform / DevOps,9.5,platform-/-devops-sqs
2024-07-26,DynamoDB (NoSQL),us-west-2,100.47,Reserved,Platform / DevOps,14.7,platform-/-devops-dynamodb
2024-05-25,SageMaker (ML),us-east-1,339.76,Spot,Warehouse Ops,17.9,warehouse-ops-sagemaker
2024-02-16,ElastiCache (Caching),us-west-2,63.74,Spot,Logistics,5.7,logistics-elasticache
